common name,download_link,species_name
Bushy-tailed Woodrat,https://www.iucnredlist.org/species/pdf/115200351,Neotoma cinerea
Evening Bat,https://www.iucnredlist.org/species/pdf/22015223,Nycticeius humeralis
American Pika,https://www.iucnredlist.org/species/pdf/45184315,Ochotona princeps
Walrus,https://www.iucnredlist.org/species/pdf/45228501,Odobenus rosmarus
Mule Deer,https://www.iucnredlist.org/species/pdf/22162113,Odocoileus hemionus
White-tailed Deer,https://www.iucnredlist.org/species/pdf/22162580,Odocoileus virginianus
Common Muskrat,https://www.iucnredlist.org/species/pdf/22344525,Ondatra zibethicus
Killer Whale,https://www.iucnredlist.org/species/pdf/50368125,Orcinus orca
Mountain Goat,https://www.iucnredlist.org/species/42680/254517035#,Oreamnos americanus
Marsh Rice Rat,https://www.iucnredlist.org/species/pdf/115200837,Oryzomys palustris
Muskox,https://www.iucnredlist.org/species/pdf/22149286,Ovibos moschatus
Bighorn Sheep,https://www.iucnredlist.org/species/pdf/22146699,Ovis canadensis
Thinhorn Sheep,https://www.iucnredlist.org/species/pdf/22149895,Ovis dalli
Jaguar,https://www.iucnredlist.org/species/pdf/123791436,Panthera onca
Collared Peccary,https://www.iucnredlist.org/species/pdf/10562361,Pecari tajacu
